attributes.databaseEngine,attributes.deploymentOption,attributes.usagetype,attributes.regionCode,attributes.instanceType,attributes.instanceFamily,attributes.vcpu,attributes.clockSpeed,attributes.physicalProcessor,attributes.memory,attributes.storage,attributes.networkPerformance,attributes.processorArchitecture,attributes.databaseEdition,attributes.licenseModel,attributes.instanceTypeFamily,attributes.normalizationSizeFactor,attributes.dedicatedEbsThroughput,attributes.enhancedNetworkingSupported,attributes.processorFeatures,pricePerUnit
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t4g.micro,us-west-1,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,0.5,,,,0.0210000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6g.12xl,us-west-1,db.m6g.12xlarge,General purpose,48,,AWS Graviton2,192 GiB,EBS Only,12 gigabit,64-bit,,No license required,M6G,96,,,,4.3520000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m5.large,us-west-1,db.m5.large,General purpose,2,2.5 GHz,Intel Xeon Platinum 8175,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,4,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.1950000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6g.2xl,us-west-1,db.m6g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,16,,,,0.6930000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6i.4xl,us-west-1,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,64,,,,3.2480000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m6g.2xl,us-west-1,db.m6g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,32,,,,1.4510000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.t4g.medium,us-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0950000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.m6i.4xl,us-west-1,db.m6i.4xlarge,General purpose,16,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.6240000000
MySQL,Single-AZ,USW1-InstanceUsage:db.r6g.large,us-west-1,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2370000000
Aurora MySQL,Single-AZ,USW1-InstanceUsage:db.r5.24xl,us-west-1,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,192,14000 Mbps,Yes,,15.3600000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6g.12xl,us-west-1,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,96,,,,6.0430000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r5.16xl,us-west-1,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,256,,,,16.9600000000
MySQL,Multi-AZ,USW1-Multi-AZUsage:db.r6g.2xl,us-west-1,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,32,,,,1.8970000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t4g.medium,us-west-1,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0850000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t4g.2xlarge,us-west-1,db.t4g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.6830000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6g.large,us-west-1,db.m6g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,4,,,,0.1730000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6i.xl,us-west-1,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.3900000000
PostgreSQL,Single-AZ,USW1-InstanceUsage:db.t3.xl,us-west-1,db.t3.xlarge,General purpose,4,,Intel Skylake E5 2686 v5 (2.5 GHz),16 GiB,EBS Only,Moderate,64-bit,,No license required,T3,8,,,,0.3800000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.12xl,us-west-1,db.r5.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,96,7000 Mbps,Yes,,7.6800000000
MySQL,Single-AZ,USW1-InstanceUsage:db.m6g.16xl,us-west-1,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,128,,,,5.5470000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r5.8xl,us-west-1,db.r5.8xlarge,Memory optimized,32,,Intel Xeon Platinum 8175,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,64,,,,5.1200000000
Aurora PostgreSQL,Single-AZ,USW1-InstanceUsage:db.r6i.32xl,us-west-1,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,256,,,,20.4800000000
MySQL,Single-AZ,USW1-InstanceUsage:db.t3.large,us-west-1,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,4,,,,0.1760000000
PostgreSQL,Multi-AZ,USW1-Multi-AZUsage:db.m5.16xl,us-west-1,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,256,,,,12.9920000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.12xl,us-west-2,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,96,,,,5.1550000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.24xl,us-west-2,db.m5.24xlarge,General purpose,96,2.5 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M5,384,12000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",16.4160000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.t4g.medium,us-west-2,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0730000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.small,us-west-2,db.t3.small,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),2 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,2,,,,0.0680000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t4g.medium,us-west-2,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0650000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5b.12xl,us-west-2,db.r5b.12xlarge,Memory optimized,48,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,384 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5b,96,3750 Mbps,Yes,,7.1040000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.2xlarge,us-west-2,db.x2g.2xlarge,Memory optimized,8,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.3040000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6i.xl,us-west-2,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.3420000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.4xl,us-west-2,db.r5b.4xlarge,Memory optimized,16,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,64,1250 Mbps,Yes,,4.7360000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.x2g.16xlarge,us-west-2,db.x2g.16xlarge,Memory optimized,64,,AWS Graviton2,1024 GiB,EBS Only,25 Gigabit,64-bit,,No license required,X2G,256,,,,20.8640000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.large,us-west-2,db.t3.large,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),8 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,8,,,,0.2900000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.xl,us-west-2,db.r6g.xlarge,Memory optimized,4,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,8,,,,0.5190000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.large,us-west-2,db.r6i.large,Memory optimized,2,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,4,,,,0.2500000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t3.small,us-west-2,db.t3.small,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),2 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,1,,,,0.0360000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.8xl,us-west-2,db.m6i.8xlarge,General purpose,32,,Intel Xeon Scalable Ice Lake,128 GiB,EBS Only,12.5 Gbps,x86,,No license required,M6i,128,,,,5.4720000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m5.xl,us-west-2,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,8,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.3560000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6i.16xl,us-west-2,db.m6i.16xlarge,General purpose,64,,Intel Xeon Scalable Ice Lake,256 GiB,EBS Only,25 Gbps,x86,,No license required,M6i,128,,,,5.6960000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.xl,us-west-2,db.m5d.xlarge,General purpose,4,,Intel Xeon Platinum 8175,16 GiB,1 x 150 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,M5d,24,,,,1.1700000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t4g.medium,us-west-2,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0730000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r5d.xl,us-west-2,db.r5d.xlarge,Memory optimized,4,,Intel Xeon Platinum 8175,32 GiB,1 x 150 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,R5d,24,,,,1.6080000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6i.32xl,us-west-2,db.r6i.32xlarge,Memory optimized,128,,Intel Xeon Scalable Ice Lake,1024 GiB,EBS Only,50 Gbps,x86,,No license required,R6i,512,,,,30.7200000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.r6gd.4xl,us-west-2,db.r6gd.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,1 x 950 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,R6GD,96,,,,5.7790000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.24xl,us-west-2,db.m6i.24xlarge,General purpose,96,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,37.5 Gbps,x86,,No license required,M6i,384,,,,16.4160000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5b.2xl,us-west-2,db.r5b.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,16,625 Mbps,Yes,,1.1840000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.xlarge,us-west-2,db.t4g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.5170000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.xl,us-west-2,db.m6gd.xlarge,General purpose,4,,AWS Graviton2,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,64-bit,,No license required,M6GD,24,,,,1.0440000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.16xl,us-west-2,db.m6g.16xlarge,General purpose,64,,AWS Graviton2,256 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M6G,256,,,,9.7280000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.2xl,us-west-2,db.r6g.2xlarge,Memory optimized,8,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,16,,,,0.8590000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r5.2xl,us-west-2,db.r5.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8175,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5,16,Up to 3500 Mbps,Yes,,1.1600000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.16xl,us-west-2,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,256,,,,14.3870000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.8xl,us-west-2,db.m6gd.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,1 x 1900 NVMe SSD,10 Gigabit,64-bit,,No license required,M6GD,192,,,,8.3520000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.2xl,us-west-2,db.m6i.2xlarge,General purpose,8,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,32,,,,1.4240000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m6g.8xl,us-west-2,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,64,,,,2.4320000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.32xl,us-west-2,db.m6i.32xlarge,General purpose,128,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,50 Gbps,x86,,No license required,M6i,512,,,,22.7840000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.8xl,us-west-2,db.m6g.8xlarge,General purpose,32,,AWS Graviton2,128 GiB,EBS Only,10 Gigabit,64-bit,,No license required,M6G,128,,,,4.8640000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.large,us-west-2,db.r5b.large,Memory optimized,2,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,8,156 Mbps,Yes,,0.5920000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6g.large,us-west-2,db.m6g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,4,,,,0.1590000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r5.16xl,us-west-2,db.r5.16xlarge,Memory optimized,64,,Intel Xeon Platinum 8175,512 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R5,128,,,,8.0000000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.xlarge,us-west-2,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.7540000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.m6g.2xl,us-west-2,db.m6g.2xlarge,General purpose,8,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,16,,,,0.6360000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2600000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.4xlarge,us-west-2,db.x2g.4xlarge,Memory optimized,16,,AWS Graviton2,256 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,32,,,,3.0160000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r6i.24xl,us-west-2,db.r6i.24xlarge,Memory optimized,96,,Intel Xeon Scalable Ice Lake,768 GiB,EBS Only,37.5 Gbps,x86,,No license required,R6i,384,,,,24.0000000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.2xl,us-west-2,db.m5d.2xlarge,General purpose,8,,Intel Xeon Platinum 8175,32 GiB,1 x 300 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,M5d,48,,,,2.3400000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6g.large,us-west-2,db.m6g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M6G,8,,,,0.3040000000
MySQL,Single-AZ,USW2-InstanceUsage:db.x2g.xlarge,us-west-2,db.x2g.xlarge,Memory optimized,4,,AWS Graviton2,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.6520000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.8xl,us-west-2,db.r5.8xlarge,Memory optimized,32,,Intel Xeon Platinum 8175,256 GiB,EBS Only,10 Gigabit,64-bit,,No license required,R5,128,,,,7.6800000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.4xl,us-west-2,db.r6g.4xlarge,Memory optimized,16,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,64,,,,3.4370000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r5b.24xl,us-west-2,db.r5b.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5b,192,7500 Mbps,Yes,,14.2080000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6i.12xl,us-west-2,db.r6i.12xlarge,Memory optimized,48,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,18.75 Gbps,x86,,No license required,R6i,192,,,,11.5200000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.xl,us-west-2,db.r6i.xlarge,Memory optimized,4,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,8,,,,0.5800000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.xlarge,us-west-2,db.t4g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,16,,,,0.5170000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t4g.xlarge,us-west-2,db.t4g.xlarge,General purpose,4,,AWS Graviton2,16 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,8,,,,0.2580000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m5.16xl,us-west-2,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,128,,,,5.4700000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.large,us-west-2,db.r6g.large,Memory optimized,2,,AWS Graviton2,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R6G,4,,,,0.2150000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.16xl,us-west-2,db.m5.16xlarge,General purpose,64,,Intel Xeon Platinum 8175,256 GiB,EBS Only,20 Gigabit,64-bit,,No license required,M5,256,,,,11.3920000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5.24xl,us-west-2,db.r5.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8175,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5,384,14000 Mbps,Yes,,24.0000000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.2xl,us-west-2,db.r6i.2xlarge,Memory optimized,8,,Intel Xeon Scalable Ice Lake,64 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,16,,,,1.0000000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6i.12xl,us-west-2,db.r6i.12xlarge,Memory optimized,48,,Intel Xeon Scalable Ice Lake,384 GiB,EBS Only,18.75 Gbps,x86,,No license required,R6i,96,,,,5.7600000000
MySQL,Single-AZ,USW2-InstanceUsage:db.t4g.large,us-west-2,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1290000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6i.16xl,us-west-2,db.r6i.16xlarge,Memory optimized,64,,Intel Xeon Scalable Ice Lake,512 GiB,EBS Only,25 Gbps,x86,,No license required,R6i,128,,,,7.6800000000
PostgreSQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m5d.large,us-west-2,db.m5d.large,General purpose,2,,Intel Xeon Platinum 8175,8 GiB,1 x 75 NVMe SSD,Up to 10 Gbps,64-bit,,No license required,M5d,12,,,,0.5850000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.xl,us-west-2,db.m6i.xlarge,General purpose,4,,Intel Xeon Scalable Ice Lake,16 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,16,,,,0.7120000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.r6i.xl,us-west-2,db.r6i.xlarge,Memory optimized,4,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,8,,,,0.5000000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.m6i.large,us-west-2,db.m6i.large,General purpose,2,,Intel Xeon Scalable Ice Lake,8 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,M6i,8,,,,0.3420000000
MySQL,Single-AZ,USW2-InstanceUsage:db.t3.medium,us-west-2,db.t3.medium,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),4 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,2,,,,0.0680000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.medium,us-west-2,db.t3.medium,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),4 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,4,,,,0.1450000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.16xl,us-west-2,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,128,,,,8.3060000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t4g.micro,us-west-2,db.t4g.micro,General purpose,2,,AWS Graviton2,1 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,1,,,,0.0320000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.24xl,us-west-2,db.r5b.24xlarge,Memory optimized,96,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,768 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R5b,384,7500 Mbps,Yes,,28.4160000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r6g.16xl,us-west-2,db.r6g.16xlarge,Memory optimized,64,,AWS Graviton2,512 GiB,EBS Only,25 Gigabit,64-bit,,No license required,R6G,256,,,,13.7470000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.x2g.large,us-west-2,db.x2g.large,Memory optimized,2,,AWS Graviton2,32 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,8,,,,0.6520000000
Aurora MySQL,Single-AZ,USW2-InstanceUsage:db.r6g.12xl,us-west-2,db.r6g.12xlarge,Memory optimized,48,,AWS Graviton2,384 GiB,EBS Only,20 Gigabit,64-bit,,No license required,R6G,96,,,,6.2290000000
PostgreSQL,Multi-AZ,USW2-Multi-AZUsage:db.m5.xl,us-west-2,db.m5.xlarge,General purpose,4,2.5 GHz,Intel Xeon Platinum 8175,16 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,M5,16,Up to 2120 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",0.7120000000
Aurora PostgreSQL,Single-AZ,USW2-InstanceUsage:db.x2g.2xlarge,us-west-2,db.x2g.2xlarge,Memory optimized,8,,AWS Graviton2,128 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,X2G,16,,,,1.5080000000
MySQL,Multi-AZ (readable standbys),USW2-Multi-AZClusterUsage:db.m6gd.12xl,us-west-2,db.m6gd.12xlarge,General purpose,48,,AWS Graviton2,192 GiB,2 x 1425 NVMe SSD,12 gigabit,64-bit,,No license required,M6GD,288,,,,12.5280000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.r5b.2xl,us-west-2,db.r5b.2xlarge,Memory optimized,8,Up to 3.1 GHz,Intel Xeon Platinum 8000 series,64 GiB,EBS Only,Up to 10 Gigabit,64-bit,,No license required,R5b,32,625 Mbps,Yes,,2.3680000000
MySQL,Single-AZ,USW2-InstanceUsage:db.t4g.medium,us-west-2,db.t4g.medium,General purpose,2,,AWS Graviton2,4 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,2,,,,0.0650000000
MySQL,Single-AZ,USW2-InstanceUsage:db.r6i.xl,us-west-2,db.r6i.xlarge,Memory optimized,4,,Intel Xeon Scalable Ice Lake,32 GiB,EBS Only,Up to 12.5 Gbps,x86,,No license required,R6i,8,,,,0.4800000000
MySQL,Single-AZ,USW2-InstanceUsage:db.m5.24xl,us-west-2,db.m5.24xlarge,General purpose,96,2.5 GHz,Intel Xeon Platinum 8175,384 GiB,EBS Only,25 Gigabit,64-bit,,No license required,M5,192,12000 Mbps,Yes,"Intel AVX, Intel AVX2, Intel AVX512, Intel Turbo",8.2080000000
PostgreSQL,Single-AZ,USW2-InstanceUsage:db.t4g.large,us-west-2,db.t4g.large,General purpose,2,,AWS Graviton2,8 GiB,EBS Only,Up to 5 Gigabit,64-bit,,No license required,T4G,4,,,,0.1290000000
MySQL,Multi-AZ,USW2-Multi-AZUsage:db.t3.micro,us-west-2,db.t3.micro,General purpose,2,,Intel Skylake E5 2686 v5 (2.5 GHz),1 GiB,EBS Only,Low to Moderate,64-bit,,No license required,T3,1,,,,0.0340000000
